Name	Entry	Statisfaction	RA Q	RA I	GradPros	Student/Staff	Acc Spend	Fac Spend	Good Hon	DegComp	Total
Queen Margaret	350	4.02	2.65	0.22	58.2	18.3	1,015	347	73.2	79.7	540
Manchester Metropolitan	349	4.10	2.74	0.24	63.2	15.6	1,198	461	70.4	83.5	637
Brunel University London	349	4.06	2.67	0.85	63.0	15.7	1,452	542	72.2	87.4	672
Norwich University of the Arts	343	4.15	2.69	0.18	63.1	17.8	1,099	132	67.9	88.5	621
Liverpool John Moores	342	4.12	2.79	0.26	63.0	18.1	1,087	287	73.0	84.4	596
Bangor	342	4.26	2.99	0.63	67.2	16.9	1,034	442	64.2	82.3	629
Lincoln	339	4.09	2.54	0.39	70.5	15.7	1,161	556	67.7	89.3	683
Abertay	338	4.04	2.16	0.36	65.6	19.3	1,045	767	70.9	77.2	557
Harper Adams	338	4.11	2.66	0.23	73.7	15.4	1,418	1,098	63.2	88.7	691
Greenwich	337	4.08	2.33	0.25	58.1	18.6	1,186	525	65.0	83.3	525
Edinburgh Napier	337	4.05	2.52	0.19	68.6	20.1	887	327	73.9	82.4	544
Oxford Brookes	335	4.15	2.66	0.39	68.6	18.3	927	411	74.9	90.1	624
Hull	335	4.05	2.70	0.56	66.5	16.2	1,400	551	70.4	84.0	606
Huddersfield	331	4.13	2.65	0.32	73.6	20.6	1,254	425	65.1	81.8	572
Edge Hill	327	4.16	2.22	0.27	63.1	14.8	1,378	524	69.8	84.7	599
West of England, Bristol	323	4.03	2.70	0.29	70.4	18.5	1,263	806	73.3	83.0	614
Arts University Bournemouth	322	4.07	2.30	0.13	61.4	14.9	788	235	62.2	91.6	586
Bournemouth	321	3.90	2.72	0.29	65.8	17.3	1,241	628	77.9	85.5	638
South Wales	321	3.97	2.51	0.16	58.4	17.4	1,114	523	64.9	82.3	515
Bradford	321	4.08	2.95	0.23	75.0	16.0	1,298	691	75.4	84.1	656
Portsmouth	321	4.14	2.75	0.27	66.8	15.4	1,445	372	71.2	85.8	631
Bath Spa	321	4.20	2.52	0.30	54.5	18.5	1,231	262	72.8	87.1	586
Gloucestershire	319	4.06	2.38	0.18	55.2	18.3	1,340	454	69.0	86.5	551
Central Lancashire	317	4.06	2.51	0.24	62.3	16.8	1,565	495	62.0	78.1	515
Coventry	316	4.28	2.67	0.13	73.8	14.6	1,273	535	70.1	84.3	679
Birmingham City	316	3.96	2.64	0.14	64.3	19.1	1,147	557	65.2	86.5	535
West of Scotland	316	4.08	2.36	0.22	65.1	19.8	1,033	329	65.5	79.0	483
University for the Creative Arts	316	4.08	2.72	0.10	51.7	12.1	2,202	268	63.4	84.9	633
Salford	316	4.05	2.54	0.33	59.2	16.7	1,193	448	71.3	79.9	535
Cardiff Metropolitan	315	4.03	3.00	0.09	59.0	17.9	1,246	711	67.5	82.3	598
Westminster	315	3.96	2.74	0.29	54.9	19.8	1,256	298	68.6	81.5	503
Plymouth	314	4.08	2.74	0.50	60.1	16.4	1,085	425	69.9	84.9	566
University of the Arts, London	314	3.92	3.12	0.17	59.0	17.0	1,392	215	62.7	83.7	561
Swansea	311	4.13	3.09	0.71	81.1	14.7	1,387	493	76.1	90.0	702
Buckingham	311	4.36			83.3	9.6	1,204	832	54.7	85.0	641
Falmouth	310	4.14	2.04	0.33	73.5	18.9	1,174	364	74.8	88.6	634
Liverpool Hope	307	4.28	2.21	0.53	53.4	16.2	872	1,116	66.2	79.6	567
Ulster	307	4.18	2.91	0.84	62.3	17.1	1,195	531	65.9	81.1	600
Nottingham Trent	305	4.15	2.59	0.23	66.3	16.7	1,053	729	71.4	85.8	627
Teesside	305	4.13	2.58	0.14	59.2	17.4	1,335	481	57.5	80.5	490
Sheffield Hallam	304	4.03	2.76	0.16	64.7	16.5	1,587	457	66.0	86.4	598
Chester	303	4.12	2.08	0.29	63.1	14.0	1,382	485	63.8	80.4	539
Derby	302	4.16	2.07	0.19	59.1	14.8	1,277	417	66.1	81.8	546
Hertfordshire	302	4.01	2.61	0.21	74.7	17.5	1,168	925	65.0	82.1	577
Royal Agricultural University	301	4.01	1.40	0.26	69.7	20.8	1,888	863	62.2	93.7	502
West London	301	3.99	1.92	0.13	60.0	15.6	1,399	1,115	61.3	74.9	498
Brighton	301	4.00	2.84	0.21	66.6	17.4	912	431	66.9	84.0	550
York St John	300	4.11	2.04	0.29	64.8	18.5	913	428	59.2	87.0	490
Worcester	300	4.09	2.08	0.30	63.1	17.3	710	517	65.8	85.7	526
Chichester	298	4.17	2.50	0.25	56.9	16.0	823	430	69.0	89.1	575
